 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto, Japan           |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              Dst                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               Dst                                          |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Quicklook                                    |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr)               |
 # The values in the raw of 00:00:00.000 are the mean values         |
 #  between 00:00UT and 01:00UT, etc.                                |
 # Missing values are indicated by value 9999                        |
 # Dst: Disturbed Storm Time, unit 1 nT                              |
 #                                                                   |
 # DOI citation:  http://dx.doi.org/10.17593/14515-74000             |
 #                                                                   |
 # For more information on Dst index, please visit                   |
 #  World Data Center for Geomagnetism (Kyoto) website :             |
 #  http://wdc.kugi.kyoto-u.ac.jp/                                   |
DATE       TIME         DOY    Dst                                   |
2017-05-06 21:00:00.000 126      8
2017-05-06 22:00:00.000 126      7
2017-05-06 23:00:00.000 126      8
2017-05-07 00:00:00.000 127     11
2017-05-07 01:00:00.000 127     13
2017-05-07 02:00:00.000 127     12
2017-05-07 03:00:00.000 127      8
2017-05-07 04:00:00.000 127      2
2017-05-07 05:00:00.000 127      3
2017-05-07 06:00:00.000 127      6
2017-05-07 07:00:00.000 127      4
2017-05-07 08:00:00.000 127      6
2017-05-07 09:00:00.000 127      7
2017-05-07 10:00:00.000 127     10
2017-05-07 11:00:00.000 127     11
2017-05-07 12:00:00.000 127     12
2017-05-07 13:00:00.000 127      8
2017-05-07 14:00:00.000 127      6
2017-05-07 15:00:00.000 127      4
2017-05-07 16:00:00.000 127      0
2017-05-07 17:00:00.000 127     -3
2017-05-07 18:00:00.000 127     -8
2017-05-07 19:00:00.000 127     -8
2017-05-07 20:00:00.000 127     -8
2017-05-07 21:00:00.000 127     -7
2017-05-07 22:00:00.000 127     -8
2017-05-07 23:00:00.000 127     -9
2017-05-08 00:00:00.000 128     -7
2017-05-08 01:00:00.000 128      0
2017-05-08 02:00:00.000 128      4
2017-05-08 03:00:00.000 128      2
2017-05-08 04:00:00.000 128      1
2017-05-08 05:00:00.000 128     -2
2017-05-08 06:00:00.000 128      0
2017-05-08 07:00:00.000 128      3
2017-05-08 08:00:00.000 128      8
2017-05-08 09:00:00.000 128      7
2017-05-08 10:00:00.000 128     10
2017-05-08 11:00:00.000 128     12
2017-05-08 12:00:00.000 128     13
2017-05-08 13:00:00.000 128     13
2017-05-08 14:00:00.000 128     14
2017-05-08 15:00:00.000 128     10
2017-05-08 16:00:00.000 128      4
2017-05-08 17:00:00.000 128      0
2017-05-08 18:00:00.000 128      0
2017-05-08 19:00:00.000 128      3
2017-05-08 20:00:00.000 128     -1
2017-05-08 21:00:00.000 128     -2
2017-05-08 22:00:00.000 128     -2
2017-05-08 23:00:00.000 128     -2
2017-05-09 00:00:00.000 129      0
2017-05-09 01:00:00.000 129      5
2017-05-09 02:00:00.000 129      7
2017-05-09 03:00:00.000 129      6
2017-05-09 04:00:00.000 129      3
2017-05-09 05:00:00.000 129      0
2017-05-09 06:00:00.000 129      2
2017-05-09 07:00:00.000 129      7
2017-05-09 08:00:00.000 129     10
2017-05-09 09:00:00.000 129     10
2017-05-09 10:00:00.000 129     17
2017-05-09 11:00:00.000 129     15
2017-05-09 12:00:00.000 129     14
2017-05-09 13:00:00.000 129     11
2017-05-09 14:00:00.000 129     21
2017-05-09 15:00:00.000 129     31
2017-05-09 16:00:00.000 129     29
2017-05-09 17:00:00.000 129     18
2017-05-09 18:00:00.000 129     13
2017-05-09 19:00:00.000 129     11
2017-05-09 20:00:00.000 129      6
2017-05-09 21:00:00.000 129      4
2017-05-09 22:00:00.000 129      4
2017-05-09 23:00:00.000 129      5
