 Format                 IAGA-2002                                    |
 Source of Data         Geoscience Australia                         |
 Station Name           Kakadu                                       |
 IAGA CODE              KDU                                          |
 Geodetic Latitude      -12.686                                      |
 Geodetic Longitude     132.472                                      |
 Elevation              14                                           |
 Reported               XYZG                                         |
 Sensor Orientation     ABZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 # D-conversion factor  10000                                        |
 # K9-limit             300                                          |
 # Format binary data.                                               |
 # A complete set is available on the INTERMAGNET CD-ROM/DVD.        |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The Conditions of Use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
 # D conversion factor is a fixed value used to allow                |
 # Declination to be converted from minutes of arc to equivalent     |
 # nanoteslas. Set to H/3438*10000 where H is the annual mean        |
 # value of horizontal intensity.                                    |
DATE       TIME         DOY     KDUX      KDUY      KDUZ      KDUG   |
2017-09-07 00:00:00.000 250     35461.00   1837.70 -29577.40       .30
2017-09-07 00:01:00.000 250     35460.00   1838.00 -29577.10       .30
2017-09-07 00:02:00.000 250     35460.90   1837.10 -29577.10       .40
2017-09-07 00:03:00.000 250     35461.10   1837.00 -29577.60       .50
2017-09-07 00:04:00.000 250     35460.80   1838.00 -29577.00       .40
2017-09-07 00:05:00.000 250     35461.30   1837.20 -29577.00       .30
2017-09-07 00:06:00.000 250     35461.80   1836.50 -29577.20       .40
2017-09-07 00:07:00.000 250     35462.70   1836.90 -29577.20       .30
2017-09-07 00:08:00.000 250     35462.90   1837.50 -29576.80       .30
2017-09-07 00:09:00.000 250     35462.90   1837.70 -29576.50       .30
2017-09-07 00:10:00.000 250     35463.20   1837.60 -29576.30       .40
2017-09-07 00:11:00.000 250     35463.60   1837.30 -29576.30       .50
2017-09-07 00:12:00.000 250     35463.70   1837.20 -29576.20       .40
2017-09-07 00:13:00.000 250     35463.70   1837.30 -29576.00       .40
2017-09-07 00:14:00.000 250     35464.70   1837.50 -29575.60       .30
2017-09-07 00:15:00.000 250     35465.80   1837.20 -29575.70       .20
2017-09-07 00:16:00.000 250     35467.00   1836.90 -29575.80       .40
2017-09-07 00:17:00.000 250     35466.40   1835.90 -29575.90       .40
2017-09-07 00:18:00.000 250     35463.60   1836.40 -29575.40       .30
2017-09-07 00:19:00.000 250     35464.40   1837.50 -29574.10       .30
2017-09-07 00:20:00.000 250     35465.10   1837.40 -29574.10       .50
2017-09-07 00:21:00.000 250     35467.40   1837.70 -29574.10       .30
2017-09-07 00:22:00.000 250     35469.60   1836.50 -29574.60       .30
2017-09-07 00:23:00.000 250     35469.30   1835.80 -29575.10       .30
2017-09-07 00:24:00.000 250     35471.50   1835.00 -29575.00       .40
2017-09-07 00:25:00.000 250     35467.90   1835.40 -29575.00       .40
2017-09-07 00:26:00.000 250     35466.30   1836.60 -29573.40       .30
2017-09-07 00:27:00.000 250     35466.50   1838.00 -29572.20       .40
2017-09-07 00:28:00.000 250     35467.60   1837.50 -29572.40       .40
2017-09-07 00:29:00.000 250     35468.30   1837.70 -29572.40       .40
2017-09-07 00:30:00.000 250     35472.00   1836.60 -29572.90       .30
2017-09-07 00:31:00.000 250     35470.80   1836.50 -29573.40       .50
2017-09-07 00:32:00.000 250     35470.60   1837.50 -29572.50       .30
2017-09-07 00:33:00.000 250     35472.50   1837.70 -29572.30       .40
2017-09-07 00:34:00.000 250     35470.60   1837.80 -29572.30       .40
2017-09-07 00:35:00.000 250     35469.90   1838.50 -29571.40       .30
2017-09-07 00:36:00.000 250     35471.10   1838.50 -29571.20       .40
2017-09-07 00:37:00.000 250     35472.90   1838.00 -29571.40       .40
2017-09-07 00:38:00.000 250     35473.30   1837.10 -29572.00       .40
2017-09-07 00:39:00.000 250     35474.30   1836.50 -29572.00       .40
2017-09-07 00:40:00.000 250     35474.80   1836.20 -29572.20       .50
2017-09-07 00:41:00.000 250     35475.30   1836.40 -29571.80       .40
2017-09-07 00:42:00.000 250     35476.20   1836.80 -29571.50       .40
2017-09-07 00:43:00.000 250     35479.20   1836.40 -29571.60       .30
2017-09-07 00:44:00.000 250     35479.40   1836.20 -29572.10       .30
2017-09-07 00:45:00.000 250     35479.70   1836.40 -29571.80       .20
2017-09-07 00:46:00.000 250     35480.20   1836.30 -29571.60       .40
2017-09-07 00:47:00.000 250     35475.50   1836.80 -29571.10       .30
2017-09-07 00:48:00.000 250     35477.20   1837.70 -29569.50       .40
2017-09-07 00:49:00.000 250     35473.50   1837.40 -29569.70  99999.00
2017-09-07 00:50:00.000 250     35475.30   1837.70 -29568.50       .40
2017-09-07 00:51:00.000 250     35473.50   1837.70 -29568.80       .30
2017-09-07 00:52:00.000 250     35474.20   1838.00 -29568.10       .40
2017-09-07 00:53:00.000 250     35473.60   1837.60 -29568.10       .40
2017-09-07 00:54:00.000 250     35472.40   1837.70 -29567.70       .20
2017-09-07 00:55:00.000 250     35472.70   1837.30 -29567.40       .40
2017-09-07 00:56:00.000 250     35472.10   1837.10 -29567.20       .20
2017-09-07 00:57:00.000 250     35471.50   1837.00 -29566.90       .30
2017-09-07 00:58:00.000 250     35472.50   1837.10 -29566.50       .30
2017-09-07 00:59:00.000 250     35473.30   1836.70 -29566.60       .30
2017-09-07 01:00:00.000 250     35473.80   1836.30 -29566.60       .30
2017-09-07 01:01:00.000 250     35473.80   1836.00 -29566.50       .30
2017-09-07 01:02:00.000 250     35476.60   1836.60 -29566.10       .30
2017-09-07 01:03:00.000 250     35477.80   1836.20 -29566.50       .30
2017-09-07 01:04:00.000 250     35478.10   1836.10 -29566.40       .40
2017-09-07 01:05:00.000 250     35479.00   1836.50 -29566.10       .40
2017-09-07 01:06:00.000 250     35480.00   1836.00 -29566.00       .40
2017-09-07 01:07:00.000 250     35479.60   1835.60 -29565.90       .30
2017-09-07 01:08:00.000 250     35478.90   1835.50 -29565.50       .30
2017-09-07 01:09:00.000 250     35479.00   1835.70 -29564.80       .30
2017-09-07 01:10:00.000 250     35478.50   1835.80 -29564.40       .40
2017-09-07 01:11:00.000 250     35477.70   1836.20 -29563.90       .40
2017-09-07 01:12:00.000 250     35477.50   1836.40 -29563.40       .40
2017-09-07 01:13:00.000 250     35477.80   1836.30 -29563.20       .30
2017-09-07 01:14:00.000 250     35477.60   1835.50 -29563.30       .40
2017-09-07 01:15:00.000 250     35477.30   1835.30 -29563.10       .50
2017-09-07 01:16:00.000 250     35477.10   1835.10 -29562.80       .30
2017-09-07 01:17:00.000 250     35476.50   1834.80 -29562.50       .50
2017-09-07 01:18:00.000 250     35475.90   1834.80 -29562.10       .30
2017-09-07 01:19:00.000 250     35475.70   1834.50 -29561.70       .40
2017-09-07 01:20:00.000 250     35474.70   1834.50 -29561.30       .40
2017-09-07 01:21:00.000 250     35474.60   1834.90 -29560.70       .40
2017-09-07 01:22:00.000 250     35476.00   1835.00 -29560.50       .30
2017-09-07 01:23:00.000 250     35478.00   1834.70 -29560.70       .40
2017-09-07 01:24:00.000 250     35478.70   1834.30 -29561.00       .40
2017-09-07 01:25:00.000 250     35478.90   1834.00 -29561.00       .40
2017-09-07 01:26:00.000 250     35478.90   1834.10 -29560.70       .50
2017-09-07 01:27:00.000 250     35479.00   1834.30 -29560.40       .40
2017-09-07 01:28:00.000 250     35478.50   1834.40 -29560.10       .50
2017-09-07 01:29:00.000 250     35478.30   1834.40 -29559.60       .40
2017-09-07 01:30:00.000 250     35478.00   1834.30 -29559.40       .30
2017-09-07 01:31:00.000 250     35477.90   1834.80 -29558.90       .20
2017-09-07 01:32:00.000 250     35478.10   1834.90 -29558.60       .40
2017-09-07 01:33:00.000 250     35478.20   1835.20 -29558.30       .30
2017-09-07 01:34:00.000 250     35480.60   1835.90 -29558.00       .40
2017-09-07 01:35:00.000 250     35482.90   1835.80 -29558.40       .40
2017-09-07 01:36:00.000 250     35483.50   1835.80 -29558.60       .40
2017-09-07 01:37:00.000 250     35483.00   1836.10 -29558.50       .40
2017-09-07 01:38:00.000 250     35484.40   1836.90 -29557.80       .40
2017-09-07 01:39:00.000 250     35485.50   1837.10 -29557.90       .40
2017-09-07 01:40:00.000 250     35484.30   1836.70 -29557.90       .40
2017-09-07 01:41:00.000 250     35483.30   1837.70 -29557.00       .50
2017-09-07 01:42:00.000 250     35483.50   1839.20 -29556.10       .40
2017-09-07 01:43:00.000 250     35481.70   1839.80 -29555.70       .40
2017-09-07 01:44:00.000 250     35479.60   1840.50 -29554.80       .40
2017-09-07 01:45:00.000 250     35478.10   1841.30 -29554.10       .40
2017-09-07 01:46:00.000 250     35478.20   1842.00 -29553.50       .40
