 Format                 IAGA-2002                                    |
 Source of Data         Geoscience Australia                         |
 Station Name           Kakadu                                       |
 IAGA CODE              KDU                                          |
 Geodetic Latitude      -12.686                                      |
 Geodetic Longitude     132.472                                      |
 Elevation              14                                           |
 Reported               XYZG                                         |
 Sensor Orientation     ABZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 # D-conversion factor  10000                                        |
 # K9-limit             300                                          |
 # Format binary data.                                               |
 # A complete set is available on the INTERMAGNET CD-ROM/DVD.        |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The Conditions of Use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
 # D conversion factor is a fixed value used to allow                |
 # Declination to be converted from minutes of arc to equivalent     |
 # nanoteslas. Set to H/3438*10000 where H is the annual mean        |
 # value of horizontal intensity.                                    |
DATE       TIME         DOY     KDUX      KDUY      KDUZ      KDUG   |
2017-05-27 00:00:00.000 147     35442.00   1882.80 -29582.00       .30
2017-05-27 00:01:00.000 147     35442.10   1882.60 -29581.90       .40
2017-05-27 00:02:00.000 147     35442.10   1882.50 -29581.70       .40
2017-05-27 00:03:00.000 147     35442.10   1882.30 -29581.60       .30
2017-05-27 00:04:00.000 147     35442.10   1882.10 -29581.50       .30
2017-05-27 00:05:00.000 147     35442.10   1881.90 -29581.30       .50
2017-05-27 00:06:00.000 147     35442.00   1881.70 -29581.30       .40
2017-05-27 00:07:00.000 147     35442.10   1881.50 -29581.10       .30
2017-05-27 00:08:00.000 147     35442.20   1881.30 -29581.10       .40
2017-05-27 00:09:00.000 147     35442.10   1880.90 -29581.00       .30
2017-05-27 00:10:00.000 147     35442.00   1880.60 -29580.90       .40
2017-05-27 00:11:00.000 147     35442.00   1880.40 -29580.90       .40
2017-05-27 00:12:00.000 147     35442.20   1880.10 -29580.80       .50
2017-05-27 00:13:00.000 147     35442.20   1880.00 -29580.70       .40
2017-05-27 00:14:00.000 147     35442.10   1880.00 -29580.60       .40
2017-05-27 00:15:00.000 147     35442.10   1879.80 -29580.50       .40
2017-05-27 00:16:00.000 147     35442.00   1879.70 -29580.30       .40
2017-05-27 00:17:00.000 147     35442.00   1879.50 -29580.30       .30
2017-05-27 00:18:00.000 147     35442.20   1879.30 -29580.30       .40
2017-05-27 00:19:00.000 147     35442.30   1879.10 -29580.20       .40
2017-05-27 00:20:00.000 147     35442.40   1878.80 -29580.20       .40
2017-05-27 00:21:00.000 147     35442.40   1878.50 -29580.20       .50
2017-05-27 00:22:00.000 147     35442.40   1878.30 -29580.20       .50
2017-05-27 00:23:00.000 147     35442.40   1878.00 -29580.10       .40
2017-05-27 00:24:00.000 147     35442.50   1877.80 -29580.10       .40
2017-05-27 00:25:00.000 147     35442.60   1877.60 -29580.10       .40
2017-05-27 00:26:00.000 147     35442.60   1877.50 -29580.00       .60
2017-05-27 00:27:00.000 147     35442.60   1877.40 -29579.90       .40
2017-05-27 00:28:00.000 147     35442.70   1877.20 -29579.90       .30
2017-05-27 00:29:00.000 147     35442.80   1876.90 -29579.90       .50
2017-05-27 00:30:00.000 147     35442.90   1876.80 -29579.80       .30
2017-05-27 00:31:00.000 147     35443.00   1876.70 -29579.80       .50
2017-05-27 00:32:00.000 147     35443.10   1876.60 -29579.70       .60
2017-05-27 00:33:00.000 147     35443.10   1876.50 -29579.70       .50
2017-05-27 00:34:00.000 147     35443.20   1876.40 -29579.60       .50
2017-05-27 00:35:00.000 147     35443.40   1876.30 -29579.60       .50
2017-05-27 00:36:00.000 147     35443.40   1876.20 -29579.60       .30
2017-05-27 00:37:00.000 147     35443.50   1876.30 -29579.60       .40
2017-05-27 00:38:00.000 147     35443.60   1876.20 -29579.50       .30
2017-05-27 00:39:00.000 147     35443.70   1876.00 -29579.60       .40
2017-05-27 00:40:00.000 147     35443.80   1875.90 -29579.60       .50
2017-05-27 00:41:00.000 147     35443.90   1875.80 -29579.60       .50
2017-05-27 00:42:00.000 147     35443.90   1875.80 -29579.60       .40
2017-05-27 00:43:00.000 147     35443.90   1875.70 -29579.60       .40
2017-05-27 00:44:00.000 147     35444.00   1875.60 -29579.60       .50
2017-05-27 00:45:00.000 147     35444.10   1875.30 -29579.60       .40
2017-05-27 00:46:00.000 147     35444.10   1875.00 -29579.70       .40
2017-05-27 00:47:00.000 147     35444.10   1874.70 -29579.80       .40
2017-05-27 00:48:00.000 147     35444.30   1874.60 -29579.80       .50
2017-05-27 00:49:00.000 147     35444.40   1874.60 -29579.70       .40
2017-05-27 00:50:00.000 147     35444.50   1874.50 -29579.70       .50
2017-05-27 00:51:00.000 147     35444.60   1874.50 -29579.70       .40
2017-05-27 00:52:00.000 147     35444.80   1874.40 -29579.70       .40
2017-05-27 00:53:00.000 147     35444.90   1874.20 -29579.70       .50
2017-05-27 00:54:00.000 147     35444.90   1874.20 -29579.70       .60
2017-05-27 00:55:00.000 147     35444.90   1874.00 -29579.70       .40
2017-05-27 00:56:00.000 147     35444.90   1874.00 -29579.70       .50
2017-05-27 00:57:00.000 147     35445.00   1873.90 -29579.70       .40
2017-05-27 00:58:00.000 147     35445.10   1873.90 -29579.80       .40
2017-05-27 00:59:00.000 147     35445.10   1873.80 -29579.80       .40
2017-05-27 01:00:00.000 147     35445.20   1873.70 -29579.80       .40
2017-05-27 01:01:00.000 147     35445.40   1873.60 -29579.90       .40
2017-05-27 01:02:00.000 147     35445.40   1873.40 -29580.00       .50
2017-05-27 01:03:00.000 147     35445.50   1873.10 -29580.00       .40
2017-05-27 01:04:00.000 147     35445.50   1872.90 -29580.10       .30
2017-05-27 01:05:00.000 147     35445.70   1872.70 -29580.20       .40
2017-05-27 01:06:00.000 147     35445.80   1872.60 -29580.20       .40
2017-05-27 01:07:00.000 147     35445.80   1872.40 -29580.30       .40
2017-05-27 01:08:00.000 147     35446.00   1872.20 -29580.40       .40
2017-05-27 01:09:00.000 147     35446.10   1871.90 -29580.50       .40
2017-05-27 01:10:00.000 147     35446.20   1871.60 -29580.60       .40
2017-05-27 01:11:00.000 147     35446.30   1871.50 -29580.60       .40
2017-05-27 01:12:00.000 147     35446.30   1871.30 -29580.60       .40
2017-05-27 01:13:00.000 147     35446.50   1871.20 -29580.60       .40
2017-05-27 01:14:00.000 147     35446.50   1871.10 -29580.60       .40
2017-05-27 01:15:00.000 147     35446.60   1871.00 -29580.60       .50
2017-05-27 01:16:00.000 147     35446.50   1870.90 -29580.60       .50
2017-05-27 01:17:00.000 147     35446.60   1870.90 -29580.60       .50
2017-05-27 01:18:00.000 147     35446.80   1871.00 -29580.40       .40
2017-05-27 01:19:00.000 147     35446.80   1871.00 -29580.40       .40
2017-05-27 01:20:00.000 147     35446.80   1870.90 -29580.50       .30
2017-05-27 01:21:00.000 147     35446.80   1870.90 -29580.50       .50
2017-05-27 01:22:00.000 147     35446.70   1870.80 -29580.50       .50
2017-05-27 01:23:00.000 147     35446.70   1870.70 -29580.50       .50
2017-05-27 01:24:00.000 147     35446.70   1870.60 -29580.40       .40
2017-05-27 01:25:00.000 147     35446.70   1870.50 -29580.40       .50
2017-05-27 01:26:00.000 147     35446.50   1870.60 -29580.30       .40
2017-05-27 01:27:00.000 147     35446.50   1870.40 -29580.30       .50
2017-05-27 01:28:00.000 147     35446.50   1870.30 -29580.30       .60
2017-05-27 01:29:00.000 147     35446.60   1870.20 -29580.30       .60
2017-05-27 01:30:00.000 147     35446.60   1870.20 -29580.30       .40
2017-05-27 01:31:00.000 147     35446.60   1870.10 -29580.30       .50
2017-05-27 01:32:00.000 147     35446.50   1870.00 -29580.20       .50
2017-05-27 01:33:00.000 147     35446.50   1869.90 -29580.20       .50
2017-05-27 01:34:00.000 147     35446.50   1869.70 -29580.30       .30
2017-05-27 01:35:00.000 147     35446.60   1869.70 -29580.30       .40
2017-05-27 01:36:00.000 147     35446.80   1869.50 -29580.30       .40
2017-05-27 01:37:00.000 147     35447.00   1869.40 -29580.30       .40
2017-05-27 01:38:00.000 147     35447.20   1869.40 -29580.20       .50
2017-05-27 01:39:00.000 147     35447.70   1869.40 -29580.20       .30
2017-05-27 01:40:00.000 147     35447.70   1869.50 -29580.20       .30
2017-05-27 01:41:00.000 147     35448.00   1869.40 -29580.10       .40
2017-05-27 01:42:00.000 147     35448.10   1869.40 -29580.10       .50
2017-05-27 01:43:00.000 147     35448.20   1869.50 -29580.00       .40
2017-05-27 01:44:00.000 147     35448.50   1869.30 -29580.00       .40
2017-05-27 01:45:00.000 147     35448.50   1869.10 -29580.00       .50
2017-05-27 01:46:00.000 147     35448.30   1868.80 -29580.00       .50
