 Format                 IAGA-2002                                    |
 Source of Data         Geoscience Australia                         |
 Station Name           Kakadu                                       |
 IAGA CODE              KDU                                          |
 Geodetic Latitude      -12.686                                      |
 Geodetic Longitude     132.472                                      |
 Elevation              14                                           |
 Reported               XYZG                                         |
 Sensor Orientation     ABZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 # D-conversion factor  10000                                        |
 # K9-limit             300                                          |
 # Format binary data.                                               |
 # A complete set is available on the INTERMAGNET CD-ROM/DVD.        |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The Conditions of Use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
 # D conversion factor is a fixed value used to allow                |
 # Declination to be converted from minutes of arc to equivalent     |
 # nanoteslas. Set to H/3438*10000 where H is the annual mean        |
 # value of horizontal intensity.                                    |
DATE       TIME         DOY     KDUX      KDUY      KDUZ      KDUG   |
2017-09-26 00:00:00.000 269     35440.70   1845.80 -29578.90       .20
2017-09-26 00:01:00.000 269     35441.10   1845.40 -29579.00       .30
2017-09-26 00:02:00.000 269     35441.40   1845.00 -29579.10       .30
2017-09-26 00:03:00.000 269     35441.50   1844.80 -29579.10       .20
2017-09-26 00:04:00.000 269     35441.70   1844.70 -29578.90       .20
2017-09-26 00:05:00.000 269     35442.00   1844.60 -29578.70       .30
2017-09-26 00:06:00.000 269     35442.20   1844.60 -29578.50       .20
2017-09-26 00:07:00.000 269     35442.50   1844.60 -29578.40       .30
2017-09-26 00:08:00.000 269     35442.50   1844.60 -29578.20       .30
2017-09-26 00:09:00.000 269     35442.60   1844.40 -29578.10       .30
2017-09-26 00:10:00.000 269     35442.70   1844.20 -29578.00       .20
2017-09-26 00:11:00.000 269     35442.70   1844.00 -29577.80       .20
2017-09-26 00:12:00.000 269     35442.50   1843.90 -29577.70       .20
2017-09-26 00:13:00.000 269     35442.50   1844.00 -29577.50       .30
2017-09-26 00:14:00.000 269     35442.70   1844.00 -29577.30       .40
2017-09-26 00:15:00.000 269     35442.90   1844.00 -29577.20       .30
2017-09-26 00:16:00.000 269     35442.80   1843.90 -29577.10       .10
2017-09-26 00:17:00.000 269     35443.00   1843.80 -29577.00       .30
2017-09-26 00:18:00.000 269     35442.90   1843.70 -29576.90       .30
2017-09-26 00:19:00.000 269     35442.80   1843.70 -29576.70       .10
2017-09-26 00:20:00.000 269     35442.90   1843.60 -29576.50       .30
2017-09-26 00:21:00.000 269     35443.00   1843.50 -29576.40       .30
2017-09-26 00:22:00.000 269     35443.10   1843.50 -29576.30       .30
2017-09-26 00:23:00.000 269     35443.20   1843.40 -29576.20       .50
2017-09-26 00:24:00.000 269     35443.40   1843.30 -29576.10       .30
2017-09-26 00:25:00.000 269     35443.50   1843.30 -29575.90       .20
2017-09-26 00:26:00.000 269     35443.60   1843.20 -29575.80       .30
2017-09-26 00:27:00.000 269     35443.70   1843.20 -29575.70       .20
2017-09-26 00:28:00.000 269     35443.90   1843.10 -29575.60       .30
2017-09-26 00:29:00.000 269     35444.00   1843.00 -29575.50       .30
2017-09-26 00:30:00.000 269     35444.10   1842.90 -29575.30       .40
2017-09-26 00:31:00.000 269     35444.10   1842.70 -29575.30       .20
2017-09-26 00:32:00.000 269     35444.30   1842.60 -29575.10       .20
2017-09-26 00:33:00.000 269     35444.40   1842.50 -29575.00       .30
2017-09-26 00:34:00.000 269     35444.40   1842.50 -29574.80       .30
2017-09-26 00:35:00.000 269     35444.50   1842.40 -29574.70       .20
2017-09-26 00:36:00.000 269     35444.60   1842.30 -29574.50       .20
2017-09-26 00:37:00.000 269     35444.80   1842.30 -29574.40       .30
2017-09-26 00:38:00.000 269     35445.00   1842.20 -29574.30       .30
2017-09-26 00:39:00.000 269     35445.20   1842.20 -29574.20       .20
2017-09-26 00:40:00.000 269     35445.50   1842.10 -29574.00       .40
2017-09-26 00:41:00.000 269     35445.70   1842.10 -29574.00       .20
2017-09-26 00:42:00.000 269     35445.90   1842.10 -29573.90       .40
2017-09-26 00:43:00.000 269     35446.00   1841.90 -29573.80       .40
2017-09-26 00:44:00.000 269     35446.10   1841.90 -29573.70       .20
2017-09-26 00:45:00.000 269     35446.20   1841.90 -29573.50       .30
2017-09-26 00:46:00.000 269     35446.30   1841.90 -29573.40       .30
2017-09-26 00:47:00.000 269     35446.40   1841.90 -29573.30       .20
2017-09-26 00:48:00.000 269     35446.50   1841.80 -29573.20       .20
2017-09-26 00:49:00.000 269     35446.70   1841.80 -29573.10       .40
2017-09-26 00:50:00.000 269     35446.80   1841.80 -29573.00       .30
2017-09-26 00:51:00.000 269     35447.10   1841.80 -29572.90       .30
2017-09-26 00:52:00.000 269     35447.20   1841.70 -29572.80       .30
2017-09-26 00:53:00.000 269     35447.30   1841.90 -29572.70       .20
2017-09-26 00:54:00.000 269     35447.40   1841.80 -29572.60       .20
2017-09-26 00:55:00.000 269     35447.50   1841.80 -29572.50       .30
2017-09-26 00:56:00.000 269     35447.70   1841.70 -29572.50       .20
2017-09-26 00:57:00.000 269     35447.90   1841.70 -29572.40       .20
2017-09-26 00:58:00.000 269     35448.10   1841.60 -29572.30       .20
2017-09-26 00:59:00.000 269     35448.00   1841.80 -29572.20       .30
2017-09-26 01:00:00.000 269     35448.10   1841.90 -29571.90       .30
2017-09-26 01:01:00.000 269     35448.00   1842.10 -29571.80       .40
2017-09-26 01:02:00.000 269     35447.80   1842.20 -29571.60       .20
2017-09-26 01:03:00.000 269     35447.70   1842.40 -29571.40       .30
2017-09-26 01:04:00.000 269     35447.60   1842.40 -29571.20       .20
2017-09-26 01:05:00.000 269     35447.70   1842.40 -29571.10       .30
2017-09-26 01:06:00.000 269     35447.90   1842.30 -29571.10       .30
2017-09-26 01:07:00.000 269     35448.10   1842.40 -29570.90       .30
2017-09-26 01:08:00.000 269     35448.40   1842.50 -29570.90       .30
2017-09-26 01:09:00.000 269     35448.70   1842.50 -29570.70       .30
2017-09-26 01:10:00.000 269     35448.90   1842.50 -29570.70       .20
2017-09-26 01:11:00.000 269     35449.00   1842.60 -29570.60       .20
2017-09-26 01:12:00.000 269     35449.10   1842.70 -29570.50       .20
2017-09-26 01:13:00.000 269     35449.20   1842.60 -29570.40       .30
2017-09-26 01:14:00.000 269     35449.10   1842.80 -29570.30       .20
2017-09-26 01:15:00.000 269     35449.20   1842.90 -29570.20       .20
2017-09-26 01:16:00.000 269     35449.30   1843.00 -29570.00       .30
2017-09-26 01:17:00.000 269     35449.40   1843.10 -29569.90       .30
2017-09-26 01:18:00.000 269     35449.40   1843.30 -29569.80       .30
2017-09-26 01:19:00.000 269     35449.40   1843.50 -29569.80       .20
2017-09-26 01:20:00.000 269     35449.50   1843.60 -29569.70       .40
2017-09-26 01:21:00.000 269     35449.60   1843.70 -29569.60       .20
2017-09-26 01:22:00.000 269     35449.60   1843.80 -29569.60       .20
2017-09-26 01:23:00.000 269     35449.80   1843.90 -29569.60       .20
2017-09-26 01:24:00.000 269     35450.00   1844.00 -29569.50       .20
2017-09-26 01:25:00.000 269     35450.20   1844.10 -29569.40       .30
2017-09-26 01:26:00.000 269     35450.30   1844.10 -29569.40       .30
2017-09-26 01:27:00.000 269     35450.40   1844.30 -29569.30       .30
2017-09-26 01:28:00.000 269     35450.60   1844.40 -29569.20       .30
2017-09-26 01:29:00.000 269     35450.60   1844.50 -29569.20       .40
2017-09-26 01:30:00.000 269     35450.80   1844.60 -29569.10       .30
2017-09-26 01:31:00.000 269     35450.80   1844.70 -29568.90       .30
2017-09-26 01:32:00.000 269     35450.90   1844.90 -29568.90       .20
2017-09-26 01:33:00.000 269     35451.00   1845.00 -29568.80       .30
2017-09-26 01:34:00.000 269     35450.90   1845.20 -29568.60       .40
2017-09-26 01:35:00.000 269     35451.00   1845.30 -29568.50       .10
2017-09-26 01:36:00.000 269     35451.00   1845.50 -29568.40       .20
2017-09-26 01:37:00.000 269     35451.10   1845.60 -29568.30       .30
2017-09-26 01:38:00.000 269     35451.20   1845.70 -29568.10       .30
2017-09-26 01:39:00.000 269     35451.30   1845.80 -29568.00       .30
2017-09-26 01:40:00.000 269     35451.40   1846.00 -29567.90       .20
2017-09-26 01:41:00.000 269     35451.60   1846.00 -29567.80       .30
2017-09-26 01:42:00.000 269     35451.80   1846.20 -29567.70       .30
2017-09-26 01:43:00.000 269     35452.00   1846.30 -29567.60       .20
2017-09-26 01:44:00.000 269     35452.20   1846.40 -29567.40       .30
2017-09-26 01:45:00.000 269     35452.40   1846.60 -29567.30       .40
2017-09-26 01:46:00.000 269     35452.40   1846.80 -29567.10       .30
